selfhost_file	selfhost_line	selfhost_func	api	kind	current_overload	cpp_file	cpp_line	cpp_api	cpp_overload	mapping	migration	recommendation	b5657_five_set	batch	cpp_call	call
packages/ast/src/ASTTypeValidator.cj	193	emitInvalidNodeDiagnostic	DiagnoseRefactor	sema_invalid_node_after_check	node	AST/ASTTypeValidator.cpp	80	DiagnoseRefactor	node	exact	NO	keep-node	Task2-node-main		DiagnoseRefactor(DiagKindRefactor::sema_invalid_node_after_check, node, range)	DiagnoseRefactor( diag, DiagKindRefactor.sema_invalid_node_after_check, node, currentValidRange())
packages/ast/src/ASTTypeValidator.cj	195	emitInvalidNodeDiagnostic	AddNote	<subdiagnostic>	text-only				unmapped	unmapped	NO	keep-current	NO			"AddNote(""please report this to Cangjie team and include the project"")"
packages/basic/src/engine_test.cj	40	handlerFilter	DiagnoseRefactor	parse_expected_name	position				unmapped	unmapped	NO	manual-review-no-direct-cpp	NO			"DiagnoseRefactor( DiagKindRefactor.parse_expected_name, Position(0u64, 1, 1), arguments: [""test name"", ""test02"", ""test03""] )"
packages/basic/src/engine_test.cj	45	handlerFilter	DiagnoseRefactor	parse_expected_name	position				unmapped	unmapped	NO	manual-review-no-direct-cpp	NO			"DiagnoseRefactor( DiagKindRefactor.parse_expected_name, Position(0u64, 1, 1), arguments: [""test name"", ""test02"", ""test03""] )"
packages/basic/src/engine_test.cj	104	apiTest	DiagnoseRefactor	parse_expected_name	position				unmapped	unmapped	NO	manual-review-no-direct-cpp	NO			"DiagnoseRefactor( DiagKindRefactor.parse_expected_name, Position(fileID, 7, 13), arguments: [""test name"", ""test1"", ""test2""] )"
packages/basic/src/engine_test.cj	110	apiTest	AddHint	<subdiagnostic>	range				unmapped	unmapped	NO	keep-current	NO			"AddHint(MakeRange(Position(fileID, 3, 13), Position(fileID, 3, 18)), arguments: [""test""])"
packages/basic/src/engine_test.cj	111	apiTest	AddHint	<subdiagnostic>	range				unmapped	unmapped	NO	keep-current	NO			"AddHint(MakeRange(Position(fileID, 2, 13), Position(fileID, 3, 9)), arguments: [""this is other hint""])"
packages/basic/src/engine_test.cj	116	apiTest	AddNote	<subdiagnostic>	text-only				unmapped	unmapped	NO	keep-current	NO			AddNote(sub1)
packages/basic/src/engine_test.cj	121	apiTest	AddNote	<subdiagnostic>	text-only				unmapped	unmapped	NO	keep-current	NO			AddNote(sub2)
packages/basic/src/engine_test.cj	153	apiTest2	DiagnoseRefactor	parse_expected_name	position				unmapped	unmapped	NO	manual-review-no-direct-cpp	NO			"DiagnoseRefactor( DiagKindRefactor.parse_expected_name, Position(fileID, 2, 10), arguments: [""test name"", ""test1"", ""test2""] )"
