category	status	severity	package	symbol	score	cpp_anchor	selfhost_anchor	cpp_br	cpp_lp	cpp_ret	cj_br	cj_lp	cj_ret	missing_calls
invented	current	P1	ast	ASTKindIndex		NO_MATCH_IN_FULL_CPP_SYMBOL_SCAN	ast/src/ASTKind.cj:120	-	-	-	-	-	-	-
invented	current	P1	ast	ASTKindName		NO_MATCH_IN_FULL_CPP_SYMBOL_SCAN	ast/src/ASTKind.cj:366	-	-	-	-	-	-	-
invented	current	P1	ast	AccessLevelRank		NO_MATCH_IN_FULL_CPP_SYMBOL_SCAN	ast/src/Utils.cj:474	-	-	-	-	-	-	-
invented	current	P1	ast	AddAllUnique		NO_MATCH_IN_FULL_CPP_SYMBOL_SCAN	ast/src/Searcher.cj:841	-	-	-	-	-	-	-
invented	current	P1	ast	AddDependentStdPkg		NO_MATCH_IN_FULL_CPP_SYMBOL_SCAN	ast/src/ImportPackageNodes.cj:454	-	-	-	-	-	-	-
invented	current	P1	ast	AddFileHash		NO_MATCH_IN_FULL_CPP_SYMBOL_SCAN	ast/src/Query.cj:103	-	-	-	-	-	-	-
invented	current	P1	ast	AddFileHashes		NO_MATCH_IN_FULL_CPP_SYMBOL_SCAN	ast/src/Query.cj:107	-	-	-	-	-	-	-
invented	current	P1	ast	AddMemDecl		NO_MATCH_IN_FULL_CPP_SYMBOL_SCAN	ast/src/ASTContext.cj:454	-	-	-	-	-	-	-
invented	current	P1	ast	AddUnique		NO_MATCH_IN_FULL_CPP_SYMBOL_SCAN	ast/src/Searcher.cj:847	-	-	-	-	-	-	-
invented	current	P1	ast	AddUniqueString		NO_MATCH_IN_FULL_CPP_SYMBOL_SCAN	ast/src/Searcher.cj:865	-	-	-	-	-	-	-
invented	current	P1	ast	AllLiveSymbols		NO_MATCH_IN_FULL_CPP_SYMBOL_SCAN	ast/src/Searcher.cj:755	-	-	-	-	-	-	-
invented	current	P1	ast	AnnotationKindIndex		NO_MATCH_IN_FULL_CPP_SYMBOL_SCAN	ast/src/Node.cj:533	-	-	-	-	-	-	-
invented	current	P1	ast	AnnotationTargetIndex		NO_MATCH_IN_FULL_CPP_SYMBOL_SCAN	ast/src/Node.cj:590	-	-	-	-	-	-	-
invented	current	P1	ast	AnnotationTargetMask		NO_MATCH_IN_FULL_CPP_SYMBOL_SCAN	ast/src/Node.cj:605	-	-	-	-	-	-	-
invented	current	P1	ast	Append		NO_MATCH_IN_FULL_CPP_SYMBOL_SCAN	ast/src/Identifier.cj:93	-	-	-	-	-	-	-
invented	current	P1	ast	AreTysCorrect		NO_MATCH_IN_FULL_CPP_SYMBOL_SCAN	ast/src/Types.cj:882	-	-	-	-	-	-	-
invented	current	P1	ast	As		NO_MATCH_IN_FULL_CPP_SYMBOL_SCAN	ast/src/Match.cj:125	-	-	-	-	-	-	-
invented	current	P1	ast	Assign		NO_MATCH_IN_FULL_CPP_SYMBOL_SCAN	ast/src/IntLiteral.cj:205	-	-	-	-	-	-	-
