section	family_id	status	sample	official_rc	selfhost_rc	family_key	official_first_error	selfhost_first_error	official_first_diff	selfhost_first_diff	cxx_anchor	root_hypothesis
MISS	MISS-042	READY	src/tests/01_lexical_structure/01_identifiers_and_keywords/a06/test_a06_06.cj	1	0	parse_expected_name | error: expected a enum value name at beginning of enum body, found 'true'	error: expected a enum value name at beginning of enum body, found 'true'	<no diagnostic>	error: expected a enum value name at beginning of enum body, found 'true'	<no diagnostic>	src/Parse/ParserDiag.cpp:310	selfhost likely misses or mis-guards C++ check `parse_expected_name` emitted from `src/Parse/ParserDiag.cpp:310`
MISS	MISS-014	READY	src/tests/02_types/01_value_types/01_numeric_types/01_numeric_literals/a08/test_a08_02.cj	1	0	error: cannot convert an integer literal to type 'Float16'	error: cannot convert an integer literal to type 'Float16'	warning: unused variable:'f16'	error: cannot convert an integer literal to type 'Float16'	warning: unused variable:'f16'	src/Sema/TypeCheckExpr/LitConstExpr.cpp:220	selfhost likely misses or mis-guards C++ check `error: cannot convert an integer literal to type 'Float16'` emitted from `src/Sema/TypeCheckExpr/LitConstExpr.cpp:220`
MISS	MISS-015	READY	src/tests/02_types/01_value_types/01_numeric_types/01_numeric_literals/a08/test_a08_03.cj	1	0	error: cannot convert an integer literal to type 'Float32'	error: cannot convert an integer literal to type 'Float32'	warning: unused variable:'f32'	error: cannot convert an integer literal to type 'Float32'	warning: unused variable:'f32'	src/Sema/TypeCheckExpr/LitConstExpr.cpp:220	selfhost likely misses or mis-guards C++ check `error: cannot convert an integer literal to type 'Float32'` emitted from `src/Sema/TypeCheckExpr/LitConstExpr.cpp:220`
MISS	MISS-016	READY	src/tests/02_types/01_value_types/01_numeric_types/01_numeric_literals/a08/test_a08_04.cj	1	0	error: cannot convert an integer literal to type 'Float64'	error: cannot convert an integer literal to type 'Float64'	warning: unused variable:'f64'	error: cannot convert an integer literal to type 'Float64'	warning: unused variable:'f64'	src/Sema/TypeCheckExpr/LitConstExpr.cpp:220	selfhost likely misses or mis-guards C++ check `error: cannot convert an integer literal to type 'Float64'` emitted from `src/Sema/TypeCheckExpr/LitConstExpr.cpp:220`
MISS	MISS-014	READY	src/tests/02_types/01_value_types/01_numeric_types/01_numeric_literals/a11/test_a11_02.cj	1	0	error: cannot convert an integer literal to type 'Float16'	error: cannot convert an integer literal to type 'Float16'	warning: unused variable:'f16'	error: cannot convert an integer literal to type 'Float16'	warning: unused variable:'f16'	src/Sema/TypeCheckExpr/LitConstExpr.cpp:220	selfhost likely misses or mis-guards C++ check `error: cannot convert an integer literal to type 'Float16'` emitted from `src/Sema/TypeCheckExpr/LitConstExpr.cpp:220`
MISS	MISS-015	READY	src/tests/02_types/01_value_types/01_numeric_types/01_numeric_literals/a11/test_a11_03.cj	1	0	error: cannot convert an integer literal to type 'Float32'	error: cannot convert an integer literal to type 'Float32'	warning: unused variable:'f32'	error: cannot convert an integer literal to type 'Float32'	warning: unused variable:'f32'	src/Sema/TypeCheckExpr/LitConstExpr.cpp:220	selfhost likely misses or mis-guards C++ check `error: cannot convert an integer literal to type 'Float32'` emitted from `src/Sema/TypeCheckExpr/LitConstExpr.cpp:220`
MISS	MISS-016	READY	src/tests/02_types/01_value_types/01_numeric_types/01_numeric_literals/a11/test_a11_04.cj	1	0	error: cannot convert an integer literal to type 'Float64'	error: cannot convert an integer literal to type 'Float64'	warning: unused variable:'f64'	error: cannot convert an integer literal to type 'Float64'	warning: unused variable:'f64'	src/Sema/TypeCheckExpr/LitConstExpr.cpp:220	selfhost likely misses or mis-guards C++ check `error: cannot convert an integer literal to type 'Float64'` emitted from `src/Sema/TypeCheckExpr/LitConstExpr.cpp:220`
MISS	MISS-016	READY	src/tests/04_expressions/01_literals/a01/test_a01_18.cj	1	0	error: cannot convert an integer literal to type 'Float64'	error: cannot convert an integer literal to type 'Float64'	<no diagnostic>	error: cannot convert an integer literal to type 'Float64'	<no diagnostic>	src/Sema/TypeCheckExpr/LitConstExpr.cpp:220	selfhost likely misses or mis-guards C++ check `error: cannot convert an integer literal to type 'Float64'` emitted from `src/Sema/TypeCheckExpr/LitConstExpr.cpp:220`
MISS	MISS-015	READY	src/tests/04_expressions/01_literals/a01/test_a01_19.cj	1	0	error: cannot convert an integer literal to type 'Float32'	error: cannot convert an integer literal to type 'Float32'	<no diagnostic>	error: cannot convert an integer literal to type 'Float32'	<no diagnostic>	src/Sema/TypeCheckExpr/LitConstExpr.cpp:220	selfhost likely misses or mis-guards C++ check `error: cannot convert an integer literal to type 'Float32'` emitted from `src/Sema/TypeCheckExpr/LitConstExpr.cpp:220`
MISS	MISS-014	READY	src/tests/04_expressions/01_literals/a01/test_a01_20.cj	1	0	error: cannot convert an integer literal to type 'Float16'	error: cannot convert an integer literal to type 'Float16'	<no diagnostic>	error: cannot convert an integer literal to type 'Float16'	<no diagnostic>	src/Sema/TypeCheckExpr/LitConstExpr.cpp:220	selfhost likely misses or mis-guards C++ check `error: cannot convert an integer literal to type 'Float16'` emitted from `src/Sema/TypeCheckExpr/LitConstExpr.cpp:220`
MISS	MISS-035	READY	src/tests/04_expressions/01_literals/a01/test_a01_21.cj	1	0	error: cannot convert a floating-point literal to type 'Int8'	error: cannot convert a floating-point literal to type 'Int8'	<no diagnostic>	error: cannot convert a floating-point literal to type 'Int8'	<no diagnostic>	src/Sema/TypeCheckExpr/LitConstExpr.cpp:220	selfhost likely misses or mis-guards C++ check `error: cannot convert a floating-point literal to type 'Int8'` emitted from `src/Sema/TypeCheckExpr/LitConstExpr.cpp:220`
MISS	MISS-032	READY	src/tests/04_expressions/01_literals/a01/test_a01_22.cj	1	0	error: cannot convert a floating-point literal to type 'Int16'	error: cannot convert a floating-point literal to type 'Int16'	<no diagnostic>	error: cannot convert a floating-point literal to type 'Int16'	<no diagnostic>	src/Sema/TypeCheckExpr/LitConstExpr.cpp:220	selfhost likely misses or mis-guards C++ check `error: cannot convert a floating-point literal to type 'Int16'` emitted from `src/Sema/TypeCheckExpr/LitConstExpr.cpp:220`
