level	sample	verdict	reference_compile_rc	selfhost_compile_rc	reference_pre_bc_count	selfhost_pre_bc_count	reference_opt_bc_count	selfhost_opt_bc_count	reference_pre_verify	selfhost_pre_verify	reference_opt_verify	selfhost_opt_verify	shared_functions	identical_functions	one_side_functions	reference_pre_bc_sha256	selfhost_pre_bc_sha256	reference_opt_bc_sha256	selfhost_opt_bc_sha256	reference_first_error	selfhost_first_error	reference_verify_error	selfhost_verify_error	body_diff_functions	reference_only_functions	selfhost_only_functions	first_bc_difference
Os	01_return	BC_DIFF	0	0	1	1	1	1	PASS	PASS	PASS	PASS	18	17	0	47551817a286139ca2ca83f6a374c2550ebc14f1a16619bb0e059e2f9a628ad8	f26bf8d2828eb44d59971a6b8788c686576ccec34adabe609b791ea2478f33c0	de6bb39bb72082c3a3f626876fdc033570718f89c86610ca758837e4ddbf1d22	039bbbf0f86c9bc3a420d2d667a0af2c24cf56f1d28338ad95cda4e2df502bc8	<none>	<none>	<none>	<none>	1	0	0	"BODY_DIFF:""0_for_keeping_some_types"""
Os	02_println_int	BC_DIFF	0	0	1	1	1	1	PASS	PASS	PASS	PASS	18	16	0	71e30a0d5b369d6cb9c5e5da74c58bad6567511a47904d0182e2c6b29700f07b	e77992ce8a58bbc4531a590acc47de380b0bfa2b7d937b16dfa6419ec7028815	d926292a91077579fe9cd5de636073355275f6864f8eafa3ba3281c3f22704a0	943961a9481d07e4618a7f051dba612ade1e8fce969cfed06a653d444af64c5e	<none>	<none>	<none>	<none>	2	0	0	"BODY_DIFF:""0_for_keeping_some_types"""
Os	03_factorial	BC_DIFF	0	0	1	1	1	1	PASS	PASS	PASS	PASS	19	17	0	a8f30d660dc77eaae4a21ac773c7e72c504fdd6abaab5b8587d8fc449306cec3	5d2f3fda1c9b6887d0efcc906982fc36b97f26d6c683596f6a5a9b79e8299150	3a751e0621378b51395caabf9fafecd45e73ef68d97ae623a9af52c7539a637b	f3f870b1bf49ee4cc063f08e055376a94c5d98c389752849be440e2a6f5afa64	<none>	<none>	<none>	<none>	2	0	0	"BODY_DIFF:""0_for_keeping_some_types"""
Os	04_while	BC_DIFF	0	0	1	1	1	1	PASS	PASS	PASS	PASS	18	16	0	fe4ba54a48f39f22ee12d474dd824aabc37ff860e461e82192c1a0a86b118a39	d18566ee8951dff6f2c8feb43088e5549ac8394516c9d1b4824d55fc91237ff6	605cbe822f2a1be57f268f57142d903a0947985e1abb83f01f8b1dbba6d4746a	388d3197fc3beab919d89f642f9416ccdfe3fad0531eca134036204d9cc746f0	<none>	<none>	<none>	<none>	2	0	0	"BODY_DIFF:""0_for_keeping_some_types"""
Os	05_forin_range	BC_DIFF	0	0	1	1	1	1	PASS	PASS	PASS	PASS	18	16	1	529137f2d824612e06fde1462ebcda860dfef4d2cedd9e2125119feaab7a63c7	e1496cded8dec742370b7ac4ede5f2da78bb98825acf13edb6e1c6b53bb50c7f	8f99f47fc1086d13b70c25a7d4db1a3fb32d68840db38216082c4a2c79fe9d84	d0ef50ee618cdf15ab87caf7d37935779bc58cc52e359cd63fb7b8c25b4088e8	<none>	<none>	<none>	<none>	2	0	1	"BODY_DIFF:""0_for_keeping_some_types"""
Os	06_bool	BC_DIFF	0	0	1	1	1	1	PASS	PASS	PASS	PASS	18	16	0	919f1b317104e2fd3fe36092814cf467ad9d21770a40a92f6e98c9cf1404d7e1	f2e3f965a22845a2bb753d1bd2c6d25f13ba3e19dfea0f11bfa9d12e6867beca	556f5b95390c4ce7278c289e1129911162621472926e50fb6aa7eacdf86e84f8	d2cf4ce1acaa83c6e4244e724ef3e98fd5955a7c3c454fa82b4afdda2188f0ba	<none>	<none>	<none>	<none>	2	0	0	"BODY_DIFF:""0_for_keeping_some_types"""
Os	07_float	BC_DIFF	0	0	1	1	1	1	PASS	PASS	PASS	PASS	18	16	0	782960c4350610df6038c13b5e467dc3f24ddcfc7aacf0856124fb1fa86ebfd7	ec58f5995f011d388c405732c6c3ac10434560b48a28cb78239908fd66af3785	a078b8bacba9eb7fcb8440aeaa5b6914a6fb9c94847a602e62fe855066701139	49901f37852e0e6ef79524fa076dbdc93e1fa670a8163f8456b2d45a16ea3ff0	<none>	<none>	<none>	<none>	2	0	0	"BODY_DIFF:""0_for_keeping_some_types"""
Os	09_nested_func	BC_DIFF	0	0	1	1	1	1	PASS	PASS	PASS	PASS	18	16	3	a117f34aa23de2e9ea7b7cc9256a98db60c24917b23379cb42f59fe651b3549b	7a04f5a420b9abd5a55c6d3a8b68440e74f3250f9c13495417f30a2797a51c75	f28060778d9ce672b5573829f80fa6167f9715df6a52e4a75c66e521a969e172	47311b79193ed2ab642c769fcd4652c4d2484535ca04693833a488ec91dc6f94	<none>	<none>	<none>	<none>	2	0	3	"BODY_DIFF:""0_for_keeping_some_types"""
Os	100_shadow_if_in_binary	BC_DIFF	0	0	1	1	1	1	PASS	PASS	PASS	PASS	18	16	0	1267cdacd4095afca1137bb1802b953719c0026fad7c430a4b0b80e5da3ee0cd	1ccac8fabbc1405f11b146f59cd29ed7c231cb4a42b38f58bf57c92f0bbfbc56	0f46151236689c7723f4769fe4afcd80205732050dfd2f4145ccacf16887551f	bbc7d020bad48d163cfef904377998cc0951d55142ccd7783e972715e9dbcb81	<none>	<none>	<none>	<none>	2	0	0	"BODY_DIFF:""0_for_keeping_some_types"""
Os	101_default_u64_constructor	BC_DIFF	0	0	1	1	1	1	PASS	PASS	PASS	PASS	18	16	0	405e051eac45445b3cffd7ca43e776d987bdd245d08d15bd319a66ecc539c809	3f8dc69d089f9dc6b4b58d229d55e9a1d2831a21052719f8a93fcdf1e5110182	0e4df7912ac9422b1f57a3fbd4944a8c3a28bb232a230d7048fa6e4a90b92c15	6f486efe143d133b0c7e91a26ccd58694594658d5ef1b1cf41029ff4b562af64	<none>	<none>	<none>	<none>	2	0	0	"BODY_DIFF:""0_for_keeping_some_types"""
Os	102_overload_call_base_not_func_ref	BC_DIFF	0	0	1	1	1	1	PASS	PASS	PASS	PASS	18	16	0	a188eb4b946c4789bb2ed85b90dec21213c2a2b0fa22badcaac0f8b140580f4c	3e372dd502be446a8b7492e9abcc3df8bd2b2ad9117e9a352d0066aff407f2af	cb14845fee50f42d09e418d83d864db6148b740e49f6bcdca7b1b7e079be1ffc	d529408cb684426ddb1ccc461666727744c1bae6737c18e0417824f262bb6d2f	<none>	<none>	<none>	<none>	2	0	0	"BODY_DIFF:""0_for_keeping_some_types"""
Os	103_if_bare_return_unit	BC_DIFF	0	0	1	1	1	1	PASS	PASS	PASS	PASS	18	17	3	cf90a0402ebc36d4becb9f4b512829e2330ebb88166497492c41848982378c4a	d7efd590282c1414fb89408404a9302f24559d5430c4cd8c7152cd27062c4e1d	7fb4ab09f553998b751ddb1b6dec91e95a3cc498f2c10c7583e40d0b1ded5a1b	6e5f29883d010dbbddaaa5f2f66c6f6bde9e46d3ae704656d53621067e549e8a	<none>	<none>	<none>	<none>	1	0	3	"BODY_DIFF:""0_for_keeping_some_types"""
Os	104_match_arm_bare_return	BC_DIFF	0	0	1	1	1	1	PASS	PASS	PASS	PASS	18	16	3	dd9ca0c2ae064093c624050162e5b78ad81f42d799adfd3f8a16fc71a0d1fb7f	007791444b09f3c9615e596dc173ffa381a973b98d78f10c3e9233bbeaa533bb	769e67ff8c336f4be1d7df47c4870f14f3719b91c59034d6c3b1f70517fcc633	caf41c9353534b496f3d4e9f8cd86b94dd5cbf3dd911c4d55c49b23b9ad8e9e2	<none>	<none>	<none>	<none>	2	0	3	"BODY_DIFF:""0_for_keeping_some_types"""
Os	105_match_string_enum	BC_DIFF	0	0	1	1	1	1	PASS	PASS	PASS	PASS	22	20	3	055e5bc120df5af9751ad2e0e40cc9fa1c5aa9e8ddae4dafc813fa272adef4b3	f27ffa6273bbef3e92a17448ae87f444f2215e3c727739c1bad83ab3e1e76243	24bf4e2e558f6eea5bf9876a7b027c259f1bd99a4fa07a1cfc5f042625de2ba6	d034223f5fc5e99ea0ca1df1550044d78a68edf9fb526bdc227441a85548ada0	<none>	<none>	<none>	<none>	2	0	3	"BODY_DIFF:""0_for_keeping_some_types"""
Os	106_array_int_size	BC_DIFF	0	0	1	1	1	1	PASS	PASS	PASS	PASS	20	18	2	bcf54cd6dac40b7ce3d46b540571ca5f2cd21cf015290b9e5969521fc68d1fce	cfca6c06640e698d01d198e55bbe779c16c07d2b68032f86632924d3a0b23e11	95077f8cd142a035ceeda6c6f4250f5f391e4d7ea235934d34089c8017e8bd45	ed371c96b65eec033ef38ab2cc7f0a3d780fb35ff35e8bde13a6368ba3be7a1f	<none>	<none>	<none>	<none>	2	0	2	"BODY_DIFF:""0_for_keeping_some_types"""
Os	107_contextual_kw_identifier	BC_DIFF	0	0	1	1	1	1	PASS	PASS	PASS	PASS	19	17	0	848b4f40473e6356690062cd34bca687cffbb82e8b093dc1d35a6f31f3ac0cc4	ad8402ad04eb706808ffed8b23b6d6c4358dce1e9883a56e394a8a1c4d151d46	5cd7a00047b5b7958b71e6ba0d7fdf55dfa6365635c4fc445919caee3020d0f8	a9ff3166aefe707d83c36ac59bc7f7cbe7657fac79bd8d840a30bd299de343df	<none>	<none>	<none>	<none>	2	0	0	"BODY_DIFF:""0_for_keeping_some_types"""
Os	108_nested_struct_field	BC_DIFF	0	0	1	1	1	1	PASS	PASS	PASS	PASS	18	16	0	2761bda31145c769711a875531f9ee5109b8c34f3dacba8280d83d551a86c3f4	f1e0b953319a9a4b435fecd614f7c69ba25e591d629f9846864c1062cfa8f036	6518667f9665c6abc4840d19b3ec2da82a9802644cdc7f0d39814d28cf34c9dc	d6b888f8838723ef02f64f9d9863d354e69b23734c2c28c62033804a7b2d2389	<none>	<none>	<none>	<none>	2	0	0	"BODY_DIFF:""0_for_keeping_some_types"""
Os	109_match_nested_const	BC_DIFF	0	0	1	1	1	1	PASS	PASS	PASS	PASS	22	20	3	430cc434c06a50d15152f33646b341e5d9f1eccbc98cb98bf7eeb6778d54ff9b	1e97faf98212a441410d3f2c9b2d6ac1b49b0834bc8f899004cf93883ba532a4	37d3791a1fcdb8bf4b4a941116e43f4476c8f0a560083b1f1cdcdc7f113de9c7	25a4d86c66555851f25955373423702f3d3dd1eac9863a495d16247d4e9f9721	<none>	<none>	<none>	<none>	2	0	3	"BODY_DIFF:""0_for_keeping_some_types"""
Os	10_str_literal	BC_DIFF	0	0	1	1	1	1	PASS	PASS	PASS	PASS	18	17	3	518a8b66cd6f9c6e82417c6377dbdd6b12a7a86354d97527569014b50c4e4bf5	1a19c7645d24b554dbb8f4fb288c4f50fb24ccc81c65341ef6aab92befa482d1	257d819361f1e5a2d436a665de222101fcd109baa5c22c2f6ef68c872d17cb4e	e5aa589ca12ec8f8d72cb78dc7944d63c54e17308d3573dfffaf91fd02cbdf54	<none>	<none>	<none>	<none>	1	0	3	"BODY_DIFF:""0_for_keeping_some_types"""
Os	110_where_multi_constraint	BC_DIFF	0	0	1	1	1	1	PASS	PASS	PASS	PASS	32	30	1	5a5aa150677d6532a47f6afcdff8be94a4755077cc43282bd3e64a03247bdeb5	fc80c4504e4114cd3e678c6f53b27c62556400bae693d3adea24c102b1575a3d	47a927a1ef5ed7d7b67af79057c8df032f91d8648acaed1a713c63cf16324b8f	f990f3d2ec815942d6028b3b966a92be18f79bb1e6a07685b04b9ca6ff767bb8	<none>	<none>	<none>	<none>	2	0	1	"BODY_DIFF:""0_for_keeping_some_types"""
Os	111_toplevel_const	BC_DIFF	0	0	1	1	1	1	PASS	PASS	PASS	PASS	19	17	0	720dea0efb028ae81f882023a190f6f103e598172bb9d139ef69771d6de8af21	3bff5ef42f39bb0dea3022c53f00ebe72e2c4c6f86394df93c0eee699dd1ff2b	eaf7f3c1062ebcec1cc26e7c5eb9d104d956134dbd28c27b37f4c406066b73da	1ca34b055e1a5aef17e279cd778a34722af284a427a350f343e782a117adbb00	<none>	<none>	<none>	<none>	2	0	0	"BODY_DIFF:""0_for_keeping_some_types"""
Os	112_field_default_init	BC_DIFF	0	0	1	1	1	1	PASS	PASS	PASS	PASS	23	21	0	72ba0f8c367ac8ab9cc9573168c18157f4382fd313cbe9184417a2532585893e	966e21b0fd9619ed6fe237c50ef0a977ae7a1bf97be0e229376725aeecff1a34	6085035ef86240db82721b12f48bc64a70672f51044bc64a644fcf876f089db7	719f177bd695f48b93c92b089bfcb0b180b67f07346ccd3aff9f1bbd7932614a	<none>	<none>	<none>	<none>	2	0	0	"BODY_DIFF:""0_for_keeping_some_types"""
Os	113_virtual_dispatch	BC_DIFF	0	0	1	1	1	1	PASS	PASS	PASS	PASS	34	32	3	8d328d6bb7af1c8bdfee591039d68aec26926203e40917429bb86b6bf3cda68b	1ea31004ab10671e4d992fa8fea4bd46cb9a2cb4bf7e86eb0ccfc979ac8e300c	1a0a9f3cd2ec85b734207e6f2dc98af7f8df9a9ef7c9746f3ed61527e35c7e4d	001b86101905eae81d64db322d160eb91a3b2b35790e03bcf5f7fa7684d1a238	<none>	<none>	<none>	<none>	2	0	3	"BODY_DIFF:""0_for_keeping_some_types"""
Os	114_global_var_init	BC_DIFF	0	0	1	1	1	1	PASS	PASS	PASS	PASS	22	20	3	f2dafdc7bcc2a27b74899c12feb0bd66b919c76e1908b38c4fc600207b7563ad	d69333ad6e44ec67ff724b8c91b5ca50a9cee52fc6096e76496a6dc9c410fc31	1c59165c1fc7b2c5e6cf607637086dc3a0e8776c6e4e1ac96510cbcc002c6b4e	175d2835b33a93e5d00c303d42662f8ec289673f1f0c20999ca7a5639a63c50c	<none>	<none>	<none>	<none>	2	0	3	"BODY_DIFF:""0_for_keeping_some_types"""
Os	115_generic_sret_array	BC_DIFF	0	0	1	1	1	1	PASS	PASS	PASS	PASS	18	16	6	572c792bb061b093c9c01f88bfe9a3e15adac1d475eefa4039fe85fb35af8e1a	919ba0faa217f643a59a28d11ed02f5c5ba8e0715ab7167a63cabaf3aebba02d	e223dcc8a7c175f77aade0cba6612ca56b7e3ee650ca91823c3d6b0b7cb3e106	39465b6ea1ef3c99ee4b81fdd9bc02a3b711a7facb42f48475b3869dbd55cb1c	<none>	<none>	<none>	<none>	2	0	6	"BODY_DIFF:""0_for_keeping_some_types"""
