package	function	cluster	impact	raw_first_edit	raw_first_ref_ir	raw_first_self_ir	semantic_first_edit	semantic_first_ref_ir	semantic_first_self_ir
option	"0_for_keeping_some_types"	CG-MISSING-INSTRUCTION	functional	delete	  %v63 = alloca %v64, align 8	<missing>	delete	  %v63 = alloca %v64, align 8	<missing>
option	"_CN11cjcj:option10GetAbsPathHRNat6StringE"	CG-METADATA-NUMBERING	cosmetic	replace	define i8 addrspace(1)* @"_CN11cjcj:option10GetAbsPathHRNat6StringE"(%v1* noalias nocapture readonly %v2) gc "cangjie" personality i32 (...)* @"__cj_personality_v0$" !ReflectionFunc !48 {	define i8 addrspace(1)* @"_CN11cjcj:option10GetAbsPathHRNat6StringE"(%v1* noalias nocapture readonly %v2) gc "cangjie" personality i32 (...)* @"__cj_personality_v0$" !ReflectionFunc !67 {	equal	<identical after metadata-number normalization>	<identical after metadata-number normalization>
option	"_CN11cjcj:option10GetDirPathHRNat6StringE"	CG-METADATA-NUMBERING	cosmetic	replace	define void @"_CN11cjcj:option10GetDirPathHRNat6StringE"(%v1* noalias sret(%v1) %v2, %v1* noalias nocapture readonly %v3) gc "cangjie" personality i32 (...)* @"__cj_personality_v0$" !ReflectionFunc !82 {	define void @"_CN11cjcj:option10GetDirPathHRNat6StringE"(%v1* noalias sret(%v1) %v2, %v1* noalias nocapture readonly %v3) gc "cangjie" personality i32 (...)* @"__cj_personality_v0$" !ReflectionFunc !72 {	equal	<identical after metadata-number normalization>	<identical after metadata-number normalization>
option	"_CN11cjcj:option10GroupIndexHNNY_5GroupE"	CG-METADATA-NUMBERING	cosmetic	replace	define i64 @"_CN11cjcj:option10GroupIndexHNNY_5GroupE"(i32 %v1) gc "cangjie" personality i32 (...)* @"__cj_personality_v0$" !ReflectionFunc !84 {	define i64 @"_CN11cjcj:option10GroupIndexHNNY_5GroupE"(i32 %v1) gc "cangjie" personality i32 (...)* @"__cj_personality_v0$" !ReflectionFunc !87 {	equal	<identical after metadata-number normalization>	<identical after metadata-number normalization>
option	"_CN11cjcj:option10IsAccessOKHNN10cjcj:utils16AccessResultTypeE"	CG-METADATA-NUMBERING	cosmetic	replace	define i1 @"_CN11cjcj:option10IsAccessOKHNN10cjcj:utils16AccessResultTypeE"(i32 %v1) gc "cangjie" personality i32 (...)* @"__cj_personality_v0$" !ReflectionFunc !55 {	define i1 @"_CN11cjcj:option10IsAccessOKHNN10cjcj:utils16AccessResultTypeE"(i32 %v1) gc "cangjie" personality i32 (...)* @"__cj_personality_v0$" !ReflectionFunc !61 {	equal	<identical after metadata-number normalization>	<identical after metadata-number normalization>
option	"_CN11cjcj:option10OptionInfo17GetOccurrenceTypeHv"	CG-METADATA-NUMBERING	cosmetic	replace	  %v12 = load i32, i32 addrspace(1)* %v11, align 4, !untrusted_ref !5	  %v12 = load i32, i32 addrspace(1)* %v11, align 4, !untrusted_ref !18	equal	<identical after metadata-number normalization>	<identical after metadata-number normalization>
option	"_CN11cjcj:option10OptionInfo5GetIDHv"	CG-METADATA-NUMBERING	cosmetic	replace	  %v12 = load i32, i32 addrspace(1)* %v11, align 4, !untrusted_ref !8	  %v12 = load i32, i32 addrspace(1)* %v11, align 4, !untrusted_ref !15	equal	<identical after metadata-number normalization>	<identical after metadata-number normalization>
option	"_CN11cjcj:option10OptionInfo7GetKindHv"	CG-METADATA-NUMBERING	cosmetic	replace	  %v12 = load i32, i32 addrspace(1)* %v11, align 4, !untrusted_ref !5	  %v12 = load i32, i32 addrspace(1)* %v11, align 4, !untrusted_ref !6	equal	<identical after metadata-number normalization>	<identical after metadata-number normalization>
option	"_CN11cjcj:option10SplitLinesHRNat6StringE"	CG-METADATA-NUMBERING	cosmetic	replace	define void @"_CN11cjcj:option10SplitLinesHRNat6StringE"(%v1* noalias sret(%v1) %v2, %v3* noalias nocapture readonly %v4) gc "cangjie" personality i32 (...)* @"__cj_personality_v0$" !ReflectionFunc !54 {	define void @"_CN11cjcj:option10SplitLinesHRNat6StringE"(%v1* noalias sret(%v1) %v2, %v3* noalias nocapture readonly %v4) gc "cangjie" personality i32 (...)* @"__cj_personality_v0$" !ReflectionFunc !65 {	equal	<identical after metadata-number normalization>	<identical after metadata-number normalization>
option	"_CN11cjcj:option10StartsWithHRNat6StringEY2_"	CG-METADATA-NUMBERING	cosmetic	replace	define i1 @"_CN11cjcj:option10StartsWithHRNat6StringEY2_"(%v1* noalias nocapture readonly %v2, %v1* noalias nocapture readonly %v3) gc "cangjie" personality i32 (...)* @"__cj_personality_v0$" !ReflectionFunc !72 {	define i1 @"_CN11cjcj:option10StartsWithHRNat6StringEY2_"(%v1* noalias nocapture readonly %v2, %v1* noalias nocapture readonly %v3) gc "cangjie" personality i32 (...)* @"__cj_personality_v0$" !ReflectionFunc !71 {	equal	<identical after metadata-number normalization>	<identical after metadata-number normalization>
option	"_CN11cjcj:option10TripleInfo10OSToStringHv"	CG-METADATA-NUMBERING	cosmetic	replace	  %v15 = load i32, i32 addrspace(1)* %v14, align 4, !untrusted_ref !10	  %v15 = load i32, i32 addrspace(1)* %v14, align 4, !untrusted_ref !9	equal	<identical after metadata-number normalization>	<identical after metadata-number normalization>
option	"_CN11cjcj:option10TripleInfo11GetArchTypeHv"	CG-METADATA-NUMBERING	cosmetic	replace	  %v12 = load i32, i32 addrspace(1)* %v11, align 4, !untrusted_ref !6	  %v12 = load i32, i32 addrspace(1)* %v11, align 4, !untrusted_ref !7	equal	<identical after metadata-number normalization>	<identical after metadata-number normalization>
option	"_CN11cjcj:option10TripleInfo14ToTripleStringHv"	CG-METADATA-NUMBERING	cosmetic	replace	  %v36 = load i32, i32 addrspace(1)* %v35, align 4, !untrusted_ref !6	  %v36 = load i32, i32 addrspace(1)* %v35, align 4, !untrusted_ref !9	equal	<identical after metadata-number normalization>	<identical after metadata-number normalization>
option	"_CN11cjcj:option10TripleInfo19EnvironmentToStringHv"	CG-METADATA-NUMBERING	cosmetic	replace	  %v16 = load i32, i32 addrspace(1)* %v15, align 4, !untrusted_ref !10	  %v16 = load i32, i32 addrspace(1)* %v15, align 4, !untrusted_ref !6	equal	<identical after metadata-number normalization>	<identical after metadata-number normalization>
option	"_CN11cjcj:option10TripleInfo25EnvironmentToSimpleStringHv"	CG-METADATA-NUMBERING	cosmetic	replace	  %v15 = load i32, i32 addrspace(1)* %v14, align 4, !untrusted_ref !8	  %v15 = load i32, i32 addrspace(1)* %v14, align 4, !untrusted_ref !5	equal	<identical after metadata-number normalization>	<identical after metadata-number normalization>
option	"_CN11cjcj:option10TripleInfo7IsArm32Hv"	CG-METADATA-NUMBERING	cosmetic	replace	  %v12 = load i32, i32 addrspace(1)* %v11, align 4, !untrusted_ref !5	  %v12 = load i32, i32 addrspace(1)* %v11, align 4, !untrusted_ref !6	equal	<identical after metadata-number normalization>	<identical after metadata-number normalization>
option	"_CN11cjcj:option10TripleInfo7IsMacOSHv"	CG-METADATA-NUMBERING	cosmetic	replace	  %v14 = load i32, i32 addrspace(1)* %v13, align 4, !untrusted_ref !15	  %v14 = load i32, i32 addrspace(1)* %v13, align 4, !untrusted_ref !9	equal	<identical after metadata-number normalization>	<identical after metadata-number normalization>
option	"_CN11cjcj:option10TripleInfo7IsMinGWHv"	CG-METADATA-NUMBERING	cosmetic	replace	  %v13 = load i32, i32 addrspace(1)* %v12, align 4, !untrusted_ref !6	  %v13 = load i32, i32 addrspace(1)* %v12, align 4, !untrusted_ref !5	equal	<identical after metadata-number normalization>	<identical after metadata-number normalization>
option	"_CN11cjcj:option11GetFileNameHRNat6StringE"	CG-METADATA-NUMBERING	cosmetic	replace	define void @"_CN11cjcj:option11GetFileNameHRNat6StringE"(%v1* noalias sret(%v1) %v2, %v1* noalias nocapture readonly %v3) gc "cangjie" personality i32 (...)* @"__cj_personality_v0$" !ReflectionFunc !54 {	define void @"_CN11cjcj:option11GetFileNameHRNat6StringE"(%v1* noalias sret(%v1) %v2, %v1* noalias nocapture readonly %v3) gc "cangjie" personality i32 (...)* @"__cj_personality_v0$" !ReflectionFunc !74 {	equal	<identical after metadata-number normalization>	<identical after metadata-number normalization>
option	"_CN11cjcj:option11OSTypeIndexHNNY_6OSTypeE"	CG-METADATA-NUMBERING	cosmetic	replace	define i64 @"_CN11cjcj:option11OSTypeIndexHNNY_6OSTypeE"(i32 %v1) gc "cangjie" personality i32 (...)* @"__cj_personality_v0$" !ReflectionFunc !45 {	define i64 @"_CN11cjcj:option11OSTypeIndexHNNY_6OSTypeE"(i32 %v1) gc "cangjie" personality i32 (...)* @"__cj_personality_v0$" !ReflectionFunc !36 {	equal	<identical after metadata-number normalization>	<identical after metadata-number normalization>
option	"_CN11cjcj:option11OptionTable14ParseOptionArgHRNat6StringE"	CG-METADATA-NUMBERING	cosmetic	replace	  %v12 = alloca %v13, align 8, !untrusted_ref !5	  %v12 = alloca %v13, align 8, !untrusted_ref !6	equal	<identical after metadata-number normalization>	<identical after metadata-number normalization>
option	"_CN11cjcj:option11OptionTable9ParseArgsHRNat5ArrayIRNat6StringEECNY_7ArgListE"	CG-METADATA-NUMBERING	cosmetic	replace	  %v134 = load i32, i32 addrspace(1)* %v133, align 4, !untrusted_ref !6	  %v134 = load i32, i32 addrspace(1)* %v133, align 4, !untrusted_ref !12	equal	<identical after metadata-number normalization>	<identical after metadata-number normalization>
option	"_CN11cjcj:option11ParseActionHCNY_13GlobalOptionsECNY_17OptionArgInstanceE"	CG-BRANCH-OPERAND	functional	replace	  br i1 %v1335, label %v1295, label %v1336	  br i1 %v1335, label %v1336, label %v1337	replace	  br i1 %v1335, label %v1295, label %v1336	  br i1 %v1335, label %v1336, label %v1337
option	"_CN11cjcj:option11SplitStringHRNat6StringEY2_"	CG-METADATA-NUMBERING	cosmetic	replace	define void @"_CN11cjcj:option11SplitStringHRNat6StringEY2_"(%v1* noalias sret(%v1) %v2, %v3* noalias nocapture readonly %v4, %v3* noalias nocapture readonly %v5) gc "cangjie" personality i32 (...)* @"__cj_personality_v0$" !ReflectionFunc !51 {	define void @"_CN11cjcj:option11SplitStringHRNat6StringEY2_"(%v1* noalias sret(%v1) %v2, %v3* noalias nocapture readonly %v4, %v3* noalias nocapture readonly %v5) gc "cangjie" personality i32 (...)* @"__cj_personality_v0$" !ReflectionFunc !45 {	equal	<identical after metadata-number normalization>	<identical after metadata-number normalization>
option	"_CN11cjcj:option11UInt64ToHexHm"	CG-METADATA-NUMBERING	cosmetic	replace	define void @"_CN11cjcj:option11UInt64ToHexHm"(%v1* noalias sret(%v1) %v2, i64 %v3) gc "cangjie" personality i32 (...)* @"__cj_personality_v0$" !ReflectionFunc !86 {	define void @"_CN11cjcj:option11UInt64ToHexHm"(%v1* noalias sret(%v1) %v2, i64 %v3) gc "cangjie" personality i32 (...)* @"__cj_personality_v0$" !ReflectionFunc !90 {	equal	<identical after metadata-number normalization>	<identical after metadata-number normalization>
option	"_CN11cjcj:option11VendorIndexHNNY_6VendorE"	CG-METADATA-NUMBERING	cosmetic	replace	define i64 @"_CN11cjcj:option11VendorIndexHNNY_6VendorE"(i32 %v1) gc "cangjie" personality i32 (...)* @"__cj_personality_v0$" !ReflectionFunc !53 {	define i64 @"_CN11cjcj:option11VendorIndexHNNY_6VendorE"(i32 %v1) gc "cangjie" personality i32 (...)* @"__cj_personality_v0$" !ReflectionFunc !94 {	equal	<identical after metadata-number normalization>	<identical after metadata-number normalization>
option	"_CN11cjcj:option12ArgTypeIndexHNNY_7ArgTypeE"	CG-METADATA-NUMBERING	cosmetic	replace	define i64 @"_CN11cjcj:option12ArgTypeIndexHNNY_7ArgTypeE"(i32 %v1) gc "cangjie" personality i32 (...)* @"__cj_personality_v0$" !ReflectionFunc !87 {	define i64 @"_CN11cjcj:option12ArgTypeIndexHNNY_7ArgTypeE"(i32 %v1) gc "cangjie" personality i32 (...)* @"__cj_personality_v0$" !ReflectionFunc !81 {	equal	<identical after metadata-number normalization>	<identical after metadata-number normalization>
option	"_CN11cjcj:option12BackendIndexHNNY_7BackendE"	CG-METADATA-NUMBERING	cosmetic	replace	define i64 @"_CN11cjcj:option12BackendIndexHNNY_7BackendE"(i32 %v1) gc "cangjie" personality i32 (...)* @"__cj_personality_v0$" !ReflectionFunc !55 {	define i64 @"_CN11cjcj:option12BackendIndexHNNY_7BackendE"(i32 %v1) gc "cangjie" personality i32 (...)* @"__cj_personality_v0$" !ReflectionFunc !84 {	equal	<identical after metadata-number normalization>	<identical after metadata-number normalization>
option	"_CN11cjcj:option12LTOModeIndexHNNY_7LTOModeE"	CG-METADATA-NUMBERING	cosmetic	replace	define i64 @"_CN11cjcj:option12LTOModeIndexHNNY_7LTOModeE"(i32 %v1) gc "cangjie" personality i32 (...)* @"__cj_personality_v0$" !ReflectionFunc !56 {	define i64 @"_CN11cjcj:option12LTOModeIndexHNNY_7LTOModeE"(i32 %v1) gc "cangjie" personality i32 (...)* @"__cj_personality_v0$" !ReflectionFunc !49 {	equal	<identical after metadata-number normalization>	<identical after metadata-number normalization>
option	"_CN11cjcj:option12ReadTextFileHRNat6StringE"	CG-METADATA-NUMBERING	cosmetic	replace	define i8 addrspace(1)* @"_CN11cjcj:option12ReadTextFileHRNat6StringE"(%v1* noalias nocapture readonly %v2) gc "cangjie" personality i32 (...)* @"__cj_personality_v0$" !ReflectionFunc !90 {	define i8 addrspace(1)* @"_CN11cjcj:option12ReadTextFileHRNat6StringE"(%v1* noalias nocapture readonly %v2) gc "cangjie" personality i32 (...)* @"__cj_personality_v0$" !ReflectionFunc !67 {	equal	<identical after metadata-number normalization>	<identical after metadata-number normalization>
option	"_CN11cjcj:option13ArchTypeIndexHNNY_8ArchTypeE"	CG-METADATA-NUMBERING	cosmetic	replace	define i64 @"_CN11cjcj:option13ArchTypeIndexHNNY_8ArchTypeE"(i32 %v1) gc "cangjie" personality i32 (...)* @"__cj_personality_v0$" !ReflectionFunc !53 {	define i64 @"_CN11cjcj:option13ArchTypeIndexHNNY_8ArchTypeE"(i32 %v1) gc "cangjie" personality i32 (...)* @"__cj_personality_v0$" !ReflectionFunc !49 {	equal	<identical after metadata-number normalization>	<identical after metadata-number normalization>
option	"_CN11cjcj:option13CHIRModeIndexHNNY_8CHIRModeE"	CG-METADATA-NUMBERING	cosmetic	replace	define i64 @"_CN11cjcj:option13CHIRModeIndexHNNY_8CHIRModeE"(i32 %v1) gc "cangjie" personality i32 (...)* @"__cj_personality_v0$" !ReflectionFunc !49 {	define i64 @"_CN11cjcj:option13CHIRModeIndexHNNY_8CHIRModeE"(i32 %v1) gc "cangjie" personality i32 (...)* @"__cj_personality_v0$" !ReflectionFunc !70 {	equal	<identical after metadata-number normalization>	<identical after metadata-number normalization>
option	"_CN11cjcj:option13CanAccessFileHRNat6StringENN10cjcj:utils8FileModeE"	CG-METADATA-NUMBERING	cosmetic	replace	define i1 @"_CN11cjcj:option13CanAccessFileHRNat6StringENN10cjcj:utils8FileModeE"(%v1* noalias nocapture readonly %v2, i32 %v3) gc "cangjie" personality i32 (...)* @"__cj_personality_v0$" !ReflectionFunc !45 {	define i1 @"_CN11cjcj:option13CanAccessFileHRNat6StringENN10cjcj:utils8FileModeE"(%v1* noalias nocapture readonly %v2, i32 %v3) gc "cangjie" personality i32 (...)* @"__cj_personality_v0$" !ReflectionFunc !87 {	equal	<identical after metadata-number normalization>	<identical after metadata-number normalization>
option	"_CN11cjcj:option13GlobalOptions10EnableTsanHv"	CG-METADATA-NUMBERING	cosmetic	replace	  %v12 = load i32, i32 addrspace(1)* %v11, align 4, !untrusted_ref !8	  %v12 = load i32, i32 addrspace(1)* %v11, align 4, !untrusted_ref !6	equal	<identical after metadata-number normalization>	<identical after metadata-number normalization>
option	"_CN11cjcj:option13GlobalOptions12EnableHwAsanHv"	CG-METADATA-NUMBERING	cosmetic	replace	  %v12 = load i32, i32 addrspace(1)* %v11, align 4, !untrusted_ref !6	  %v12 = load i32, i32 addrspace(1)* %v11, align 4, !untrusted_ref !8	equal	<identical after metadata-number normalization>	<identical after metadata-number normalization>
