sample	official_rc	selfhost_rc	pre_frontend_exception	post_frontend_exception
src/tests/13_multi_language_interoperability/01_c_interoperability/02_calling_functions_in_c/02_cfunc/a04/test_a04_01.cj	1	1	YES	NO
src/tests/13_multi_language_interoperability/01_c_interoperability/02_calling_functions_in_c/02_cfunc/a09/test_a09_01.cj	1	1	YES	NO
src/tests/13_multi_language_interoperability/01_c_interoperability/02_calling_functions_in_c/02_cfunc/a09/test_a09_03.cj	1	0	YES	NO
src/tests/13_multi_language_interoperability/01_c_interoperability/02_calling_functions_in_c/02_cfunc/a09/test_a09_04.cj	1	1	YES	NO
src/tests/13_multi_language_interoperability/01_c_interoperability/02_calling_functions_in_c/02_cfunc/a09/test_a09_05.cj	1	1	YES	NO
src/tests/13_multi_language_interoperability/01_c_interoperability/02_calling_functions_in_c/02_cfunc/a09/test_a09_06.cj	1	1	YES	NO
src/tests/13_multi_language_interoperability/01_c_interoperability/02_calling_functions_in_c/02_cfunc/a09/test_a09_07.cj	1	1	YES	NO
src/tests/13_multi_language_interoperability/01_c_interoperability/02_calling_functions_in_c/02_cfunc/a09/test_a09_08.cj	1	0	YES	NO
src/tests/13_multi_language_interoperability/01_c_interoperability/02_calling_functions_in_c/02_cfunc/a09/test_a09_09.cj	1	1	YES	NO
src/tests/13_multi_language_interoperability/01_c_interoperability/02_calling_functions_in_c/02_cfunc/a09/test_a09_10.cj	1	0	YES	NO
src/tests/13_multi_language_interoperability/01_c_interoperability/02_calling_functions_in_c/02_cfunc/a09/test_a09_11.cj	1	1	YES	NO
src/tests/13_multi_language_interoperability/01_c_interoperability/02_calling_functions_in_c/02_cfunc/a09/test_a09_12.cj	1	1	YES	NO
src/tests/13_multi_language_interoperability/01_c_interoperability/02_calling_functions_in_c/02_cfunc/a09/test_a09_13.cj	1	0	YES	NO
src/tests/13_multi_language_interoperability/01_c_interoperability/02_calling_functions_in_c/02_cfunc/a09/test_a09_14.cj	1	1	YES	NO
src/tests/13_multi_language_interoperability/01_c_interoperability/02_calling_functions_in_c/02_cfunc/a09/test_a09_16.cj	1	1	YES	NO
src/tests/13_multi_language_interoperability/01_c_interoperability/02_calling_functions_in_c/02_cfunc/a09/test_a09_17.cj	1	1	YES	NO
src/tests/13_multi_language_interoperability/01_c_interoperability/02_calling_functions_in_c/02_cfunc/a09/test_a09_18.cj	1	0	YES	NO
src/tests/13_multi_language_interoperability/01_c_interoperability/02_calling_functions_in_c/02_cfunc/a09/test_a09_19.cj	1	0	YES	NO
src/tests/13_multi_language_interoperability/01_c_interoperability/02_calling_functions_in_c/02_cfunc/a09/test_a09_20.cj	1	1	YES	NO
src/tests/13_multi_language_interoperability/01_c_interoperability/02_calling_functions_in_c/02_cfunc/a09/test_a09_21.cj	1	0	YES	NO
src/tests/13_multi_language_interoperability/01_c_interoperability/02_calling_functions_in_c/02_cfunc/a09/test_a09_22.cj	1	1	YES	NO
src/tests/13_multi_language_interoperability/01_c_interoperability/03_type_mapping/04_varray_type/a03/test_a03_02.cj	1	1	YES	NO
