block	gap_kind	named_symbol	source_anchor	severity	status	judge_evidence
b1	MISSING	IsBuiltinBinaryExpr	/root/cj_build/cangjie_compiler/src/Sema/BuiltInOperatorUtil.h:23	BOOTSTRAP	FIXED	MISSING at audit base; now packages/sema/src/TypeCheckDecl.cj:353 `if (IsBuiltinBinaryExpr(fd.op, baseTy, funcTy.paramTys[0])) {` (+2 matches); added by 8c43fd0a `fix: port sema builtin candidate constraints` (packages/sema/src/TypeCheckUtil.cj)
b1	MISSING	IsUnaryOperator	/root/cj_build/cangjie_compiler/src/Sema/BuiltInOperatorUtil.h:24	BOOTSTRAP	FIXED	MISSING at audit base; now packages/sema/src/TypeCheckDecl.cj:327 `if (!IsUnaryOperator(fd.op)) {` (+3 matches); added by e438a11b `fix(sema): align operator validation with builtin maps` (packages/sema/src/TypeCheckUtil.cj)
b1	MISSING	IsBinaryOperator	/root/cj_build/cangjie_compiler/src/Sema/BuiltInOperatorUtil.h:25	BOOTSTRAP	FIXED	MISSING at audit base; now packages/sema/src/TypeCheckDecl.cj:345 `if (!IsBinaryOperator(fd.op)) {` (+1 matches); added by e438a11b `fix(sema): align operator validation with builtin maps` (packages/sema/src/TypeCheckUtil.cj)
b1	MISSING	GetBuiltinBinaryExprReturnKind	/root/cj_build/cangjie_compiler/src/Sema/BuiltInOperatorUtil.h:26	BOOTSTRAP	REMAINING	MISSING exact identifier `GetBuiltinBinaryExprReturnKind`: absent in current packages/
b1	MISSING	GetBuiltinUnaryOpReturnKind	/root/cj_build/cangjie_compiler/src/Sema/BuiltInOperatorUtil.h:27	BOOTSTRAP	REMAINING	MISSING exact identifier `GetBuiltinUnaryOpReturnKind`: absent in current packages/
b1	MISSING	GetBinaryOpTypeCandidates	/root/cj_build/cangjie_compiler/src/Sema/BuiltInOperatorUtil.h:28	BOOTSTRAP	FIXED	MISSING at audit base; now packages/sema/src/TypeCheckUtil.cj:167 `public func GetBinaryOpTypeCandidates(op: TokenKind): ArrayList<(TypeKind, TypeKind)> {` (+1 matches); added by 8c43fd0a `fix: port sema builtin candidate constraints` (packages/sema/src/TypeCheckUtil.cj)
b1	MISSING	GetUnaryOpTypeCandidates	/root/cj_build/cangjie_compiler/src/Sema/BuiltInOperatorUtil.h:29	BOOTSTRAP	FIXED	MISSING at audit base; now packages/sema/src/TypeCheckUtil.cj:171 `public func GetUnaryOpTypeCandidates(op: TokenKind): ArrayList<(TypeKind, TypeKind)> {` (+2 matches); added by 8c43fd0a `fix: port sema builtin candidate constraints` (packages/sema/src/TypeCheckUtil.cj)
b1	MISSING	CollectPackageNode	/root/cj_build/cangjie_compiler/src/Sema/Collector.h:62	BOOTSTRAP	REMAINING	MISSING exact identifier `CollectPackageNode`: absent in current packages/
b1	MISSING	CollectFileNode	/root/cj_build/cangjie_compiler/src/Sema/Collector.h:63	BOOTSTRAP	REMAINING	MISSING exact identifier `CollectFileNode`: absent in current packages/
b1	MISSING	CollectAnnotations	/root/cj_build/cangjie_compiler/src/Sema/Collector.h:64	BOOTSTRAP	REMAINING	MISSING exact identifier `CollectAnnotations`: absent in current packages/
